0.1411208988576905,0.0
0.1411208988576905,-0.00953
0.1411208988576905,-0.01906
0.1411208988576905,-0.02859
0.143792,-0.0381
0.143942,-0.0470837
0.144083,-0.0560679
0.144341,-0.0650492
0.144843,-0.07402
0.145654,-0.0829679
0.146695,-0.0918922
0.14783,-0.100806
0.148943,-0.109722
0.149967,-0.118649
0.150943,-0.127581
0.151971,-0.136506
0.153139,-0.145415
0.154502,-0.154295
0.156089,-0.16314
0.157903,-0.17194
0.159949,-0.180689
0.162192,-0.18939
0.164538,-0.198063
0.166873,-0.20674
0.169148,-0.215432
0.171416,-0.224125
0.173809,-0.232786
0.176447,-0.241375
0.179401,-0.24986
0.182667,-0.25823
0.18623,-0.266478
0.19006,-0.274606
0.194063,-0.28265
0.198136,-0.290659
0.202253,-0.298646
0.206616,-0.306499
0.211441,-0.314075
0.216833,-0.321261
0.22266,-0.328099
0.228819,-0.334639
0.235298,-0.340864
0.242189,-0.346627
0.249514,-0.351825
0.257216,-0.356449
0.265205,-0.360559
0.273434,-0.364164
0.281888,-0.367205
0.290539,-0.369628
0.29933,-0.371482
0.308201,-0.372903
0.317121,-0.373981
0.326077,-0.374707
0.335057,-0.374994
0.344039,-0.374811
0.353003,-0.374199
0.361938,-0.373259
0.370841,-0.372054
0.379703,-0.370572
0.388495,-0.368731
0.397191,-0.366476
0.405773,-0.363815
0.414247,-0.360828
0.422626,-0.357584
0.430908,-0.354099
0.43906,-0.350322
0.447042,-0.346198
0.454828,-0.341714
0.462423,-0.336914
0.469847,-0.331853
0.477121,-0.326578
0.484258,-0.321121
0.491275,-0.315509
0.498182,-0.309763
0.504984,-0.303892
0.511667,-0.297886
0.51821,-0.291729
0.524599,-0.285412
0.530835,-0.278944
0.536929,-0.272342
0.542897,-0.265625
0.548752,-0.258811
0.554518,-0.251919
0.560217,-0.244973
0.565879,-0.237996
0.571513,-0.230997
0.577106,-0.223964
0.58263,-0.216877
0.588053,-0.209715
0.593352,-0.202458
0.598531,-0.195116
0.603607,-0.187702
0.608602,-0.180233
0.613534,-0.172722
0.618395,-0.165165
0.623153,-0.157544
0.627773,-0.149837
0.632223,-0.142032
0.636483,-0.13412
0.640546,-0.126106
0.64442,-0.118
0.648109,-0.109807
0.651612,-0.101533
0.654913,-0.0931766
0.657984,-0.0847329
0.660798,-0.0762
